ticket_id,customer_id,ticket_created_at,ticket_channel,ticket_type,ticket_subject,ticket_description,ticket_priority,ticket_status,assigned_agent,first_response_time_minutes,resolution_time_hours,escalated,customer_satisfaction_rating,final_resolution
TICK-000430,CUST-00726,2025-06-19 14:17:00,Chat,Delivery Delay,Package is late,My Smart TV was supposed to be here 2 days ago.,Medium,Resolved,Jordan,4,11.0,FALSE,4,"Escalated to carrier, offered $10 credit."
TICK-000431,CUST-00191,2026-02-16 18:59:00,Phone,Refund Request,Need refund for Electric Toothbrush,I returned this last week and want my money back.,Medium,Resolved,Casey,1,18.0,FALSE,1,Refund processed to original payment method.
TICK-000432,CUST-00416,2025-10-11 07:09:00,Email,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Medium,Resolved,Jamie,137,46.0,FALSE,4,Addressed multiple queries.
TICK-000433,CUST-00737,2025-08-13 11:32:00,Phone,Account Issue,Can't log in,Password reset not sending.,Medium,Resolved,Taylor,8,37.3,FALSE,4,Sent manual reset link via SMS.
TICK-000434,CUST-00749,2025-12-24 14:18:00,Email,Delivery Delay & Account Issue,Package is late,My Laptop Stand was supposed to be here 2 days ago.,Low,Resolved,Jamie,146,69.8,FALSE,4,"Escalated to carrier, offered $10 credit."
TICK-000435,CUST-00068,2025-07-21 19:29:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,Critical,Resolved,Casey,12,2.4,FALSE,3,Voided duplicate authorization hold.
TICK-000436,CUST-00818,2025-05-27 23:41:00,Chat,Refund Request,Need refund for Gaming Mouse,I returned this last week and want my money back.,High,Escalated,Jordan,8,,TRUE,,
TICK-000437,CUST-00060,2025-12-07 10:41:00,Email,Payment Issue,Charged twice!,My card was declined but I see a charge.,Medium,Resolved,Taylor,245,19.3,FALSE,1,Voided duplicate authorization hold.
TICK-000438,CUST-00256,2025-07-08 08:53:00,Email,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Open,Pat,147,,FALSE,,
TICK-000439,CUST-00345,2025-10-09 04:31:00,Email,Product Damage,Running Shoes arrived broken,The box was smashed and the item is damaged.,Medium,Resolved,Jamie,161,15.8,FALSE,5,Sent overnight replacement.
TICK-000440,CUST-00133,2025-06-29 01:05:00,Chat,Product Damage,Smart TV arrived broken,The box was smashed and the item is damaged.,High,Resolved,Pat,1,12.2,FALSE,3,Sent overnight replacement.
TICK-000441,CUST-00891,2026-04-13 01:30:00,Social Media,Refund Request,Need refund for Smart TV,I returned this last week and want my money back.,High,Resolved,Chris,269,16.8,FALSE,1,Refund processed to original payment method.
TICK-000442,CUST-00502,2025-06-17 03:40:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Resolved,Pat,1,7.7,FALSE,5,Voided duplicate authorization hold.
TICK-000443,CUST-00241,2025-12-11 22:58:00,Chat,Account Issue & Wrong Product,Got the wrong item,"I didn't order this, I ordered a Mechanical Keyboard.",Low,Resolved,Pat,3,13.8,FALSE,5,Issued return label and shipped correct item.
TICK-000444,CUST-00865,2025-06-21 12:10:00,Email,Product Damage,Smart TV arrived broken,The box was smashed and the item is damaged.,Medium,Resolved,Chris,70,5.6,FALSE,4,Sent overnight replacement.
TICK-000445,CUST-00918,2025-07-22 18:41:00,Phone,Order Tracking,Where is my Running Shoes?,I ordered a Running Shoes and the tracking hasn't updated.,Low,Resolved,Chris,15,44.7,FALSE,1,Provided updated tracking link.
TICK-000446,CUST-00618,2025-12-12 07:07:00,Email,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Coffee Machine.",Low,Open,Riley,32,,FALSE,,
TICK-000447,CUST-00823,2025-11-25 22:03:00,Chat,Account Issue,Can't log in,Password reset not sending.,High,Resolved,Taylor,2,17.3,FALSE,5,Sent manual reset link via SMS.
TICK-000448,CUST-00457,2025-11-01 15:49:00,Chat,Account Issue,Can't log in,Password reset not sending.,Low,Resolved,Pat,13,29.6,FALSE,2,Sent manual reset link via SMS.
TICK-000449,CUST-00187,2026-05-05 11:37:00,Social Media,Refund Request,Need refund for Laptop Stand,I returned this last week and want my money back.,High,Pending,Pat,88,,FALSE,,
TICK-000450,CUST-00146,2025-10-18 18:23:00,Email,Delivery Delay,Package is late,My Wireless Earbuds was supposed to be here 2 days ago.,Medium,Resolved,Jamie,95,7.4,FALSE,3,"Escalated to carrier, offered $10 credit."
TICK-000451,CUST-00994,2026-04-07 07:50:00,Chat,Product Damage,Running Shoes arrived broken,The box was smashed and the item is damaged.,Medium,Resolved,Jordan,3,70.2,FALSE,1,Sent overnight replacement.
TICK-000452,CUST-00545,2026-04-17 01:00:00,Chat,Refund Request,Need refund for Gaming Mouse,I returned this last week and want my money back.,Medium,Pending,Alex,14,,FALSE,,
TICK-000453,CUST-00964,2025-11-20 10:26:00,Chat,Order Tracking,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,Low,Pending,Pat,10,,FALSE,,
TICK-000454,CUST-00823,2025-12-14 19:52:00,Email,Delivery Delay,Package is late,My Coffee Machine was supposed to be here 2 days ago.,High,Resolved,Jamie,285,15.7,FALSE,3,"Escalated to carrier, offered $10 credit."
TICK-000455,CUST-00907,2026-03-13 04:59:00,Chat,Wrong Product & Order Tracking,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,High,Escalated,Casey,2,,TRUE,,
TICK-000456,CUST-00138,2026-01-09 01:55:00,Email,Order Tracking,Where is my Yoga Mat?,I ordered a Yoga Mat and the tracking hasn't updated.,Low,Resolved,Pat,145,26.9,FALSE,3,Provided updated tracking link.
TICK-000457,CUST-00415,2025-09-21 04:36:00,Email,Account Issue,Can't log in,Password reset not sending.,Low,Resolved,Riley,116,41.1,FALSE,4,Sent manual reset link via SMS.
TICK-000458,CUST-00464,2025-07-22 16:20:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Wireless Earbuds.",Medium,Pending,Chris,5,,FALSE,,
TICK-000459,CUST-00446,2025-10-24 06:29:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,Medium,Resolved,Riley,11,66.0,FALSE,1,Voided duplicate authorization hold.
TICK-000460,CUST-00955,2026-04-09 07:53:00,Phone,Payment Issue,AGAIN: Charged twice!,My card was declined but I see a charge.,High,Resolved,Riley,3,8.5,TRUE,2,Voided duplicate authorization hold.
TICK-000461,CUST-00569,2025-12-17 23:36:00,Email,Delivery Delay,Package is late,My Electric Toothbrush was supposed to be here 2 days ago.,High,Pending,Riley,179,,FALSE,,
TICK-000462,CUST-00056,2025-12-29 22:39:00,Chat,Refund Request,Need refund for Yoga Mat,I returned this last week and want my money back.,High,Resolved,Chris,11,2.0,FALSE,4,Refund processed to original payment method.
TICK-000463,CUST-00752,2026-02-10 16:52:00,Phone,Product Damage,Blender arrived broken,The box was smashed and the item is damaged.,Critical,Pending,Chris,9,,FALSE,,
TICK-000464,CUST-00617,2025-08-17 06:51:00,Chat,Delivery Delay,AGAIN: Package is late,My Yoga Mat was supposed to be here 2 days ago.,High,Resolved,Morgan,7,16.3,FALSE,3,"Escalated to carrier, offered $10 credit."
TICK-000465,CUST-00286,2025-06-01 01:57:00,Email,Order Tracking,Where is my Running Shoes?,I ordered a Running Shoes and the tracking hasn't updated.,Low,Resolved,Casey,128,64.3,FALSE,2,Provided updated tracking link.
TICK-000466,CUST-00663,2026-05-01 19:14:00,Chat,Order Tracking,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,High,Resolved,Casey,7,21.2,FALSE,5,Provided updated tracking link.
TICK-000467,CUST-00882,2025-08-01 23:58:00,Social Media,Order Tracking,Where is my Blender?,I ordered a Blender and the tracking hasn't updated.,Low,Resolved,Morgan,105,5.5,FALSE,2,Provided updated tracking link.
TICK-000468,CUST-00663,2026-02-23 14:36:00,Chat,Refund Request,Need refund for Running Shoes,I returned this last week and want my money back.,Medium,Resolved,Riley,13,56.7,FALSE,1,Refund processed to original payment method.
TICK-000469,CUST-00728,2025-08-31 12:23:00,Chat,Account Issue,Can't log in,Password reset not sending.,Low,Resolved,Jordan,9,68.7,FALSE,5,Sent manual reset link via SMS.
TICK-000470,CUST-00910,2026-01-01 09:49:00,Chat,Order Tracking,Where is my Coffee Machine?,I ordered a Coffee Machine and the tracking hasn't updated.,Medium,Resolved,Jordan,13,23.5,FALSE,5,Provided updated tracking link.
TICK-000471,CUST-00270,2025-09-01 08:21:00,Email,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Smart TV.",Medium,Resolved,Pat,211,58.5,FALSE,3,Issued return label and shipped correct item.
TICK-000472,CUST-00469,2025-06-07 05:22:00,Social Media,Order Tracking,Where is my Blender?,I ordered a Blender and the tracking hasn't updated.,Low,Pending,Jamie,174,,FALSE,,
TICK-000473,CUST-00678,2026-05-02 10:05:00,Phone,Account Issue,Can't log in,Password reset not sending.,Low,Resolved,Jordan,15,65.2,FALSE,2,Sent manual reset link via SMS.
TICK-000474,CUST-00124,2025-08-10 12:56:00,Chat,Product Damage,Blender arrived broken,The box was smashed and the item is damaged.,High,Escalated,Sam,11,,TRUE,,
TICK-000475,CUST-00707,2026-01-01 09:15:00,Email,Unknown Issue,Question,Does it work?,Low,Resolved,Sam,82,60.9,FALSE,3,Clarified user question and provided specs.
TICK-000476,CUST-00858,2026-04-14 01:27:00,Email,Order Tracking,Where is my Running Shoes?,I ordered a Running Shoes and the tracking hasn't updated.,Medium,Resolved,Jamie,230,33.3,FALSE,5,Provided updated tracking link.
TICK-000477,CUST-00044,2025-09-09 14:43:00,Chat,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Low,Resolved,Pat,11,19.9,FALSE,5,Addressed multiple queries.
TICK-000478,CUST-00497,2026-01-27 13:01:00,Chat,Account Issue,Can't log in,Password reset not sending.,Low,Resolved,Taylor,7,22.6,FALSE,3,Sent manual reset link via SMS.
TICK-000479,CUST-00281,2025-09-02 13:30:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Open,Casey,10,,FALSE,,
TICK-000480,CUST-00652,2025-11-25 21:12:00,Chat,Delivery Delay,Package is late,My Running Shoes was supposed to be here 2 days ago.,Medium,Resolved,Taylor,15,43.6,FALSE,4,"Escalated to carrier, offered $10 credit."
TICK-000481,CUST-00467,2025-06-04 06:14:00,Chat,Delivery Delay,Package is late,My Wireless Earbuds was supposed to be here 2 days ago.,High,Resolved,Alex,3,10.1,TRUE,5,"Escalated to carrier, offered $10 credit."
TICK-000482,CUST-00045,2025-10-01 19:30:00,Social Media,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Low,Open,Taylor,220,,FALSE,,
TICK-000483,CUST-00285,2026-02-25 00:15:00,Email,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Low,Resolved,Jamie,98,49.5,FALSE,3,Addressed multiple queries.
TICK-000484,CUST-00351,2025-07-05 16:45:00,Email,Delivery Delay,Package is late,My Blender was supposed to be here 2 days ago.,Low,Resolved,Sam,257,13.4,FALSE,2,"Escalated to carrier, offered $10 credit."
TICK-000485,CUST-00034,2025-07-30 09:19:00,Email,Refund Request,Need refund for Running Shoes,I returned this last week and want my money back.,High,Resolved,Chris,203,9.3,FALSE,2,Refund processed to original payment method.
TICK-000486,CUST-00889,2025-09-22 09:43:00,Chat,Order Tracking,Where is my Yoga Mat?,I ordered a Yoga Mat and the tracking hasn't updated.,High,Resolved,Chris,14,21.2,TRUE,3,Provided updated tracking link.
TICK-000487,CUST-00137,2025-12-26 21:01:00,Chat,Product Damage,Coffee Machine arrived broken,The box was smashed and the item is damaged.,High,Resolved,Pat,3,3.5,FALSE,1,Sent overnight replacement.
TICK-000488,CUST-00823,2025-08-29 10:37:00,Chat,Refund Request,Need refund for Coffee Machine,I returned this last week and want my money back.,Critical,Resolved,Taylor,11,2.7,TRUE,3,Refund processed to original payment method.
TICK-000489,CUST-00151,2025-11-13 13:29:00,Email,Delivery Delay,Package is late,My Electric Toothbrush was supposed to be here 2 days ago.,Medium,Resolved,Riley,83,64.6,FALSE,1,"Escalated to carrier, offered $10 credit."
TICK-000490,CUST-00741,2026-02-05 19:55:00,Chat,Refund Request,Need refund for Yoga Mat,I returned this last week and want my money back.,High,Open,Casey,10,,FALSE,,
TICK-000491,CUST-00262,2026-02-20 02:08:00,Social Media,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Smart TV.",Medium,Resolved,Jordan,146,39.2,FALSE,2,Issued return label and shipped correct item.
TICK-000492,CUST-00445,2025-05-23 13:02:00,Email,Refund Request,Need refund for Gaming Mouse,I returned this last week and want my money back.,Critical,Resolved,Riley,159,0.7,TRUE,5,Refund processed to original payment method.
TICK-000493,CUST-00085,2025-08-30 16:24:00,Social Media,Product Damage,Mechanical Keyboard arrived broken,The box was smashed and the item is damaged.,High,Pending,Pat,115,,FALSE,,
TICK-000494,CUST-00851,2025-06-01 01:09:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Smart TV.",Medium,Resolved,Alex,11,51.7,FALSE,5,Issued return label and shipped correct item.
TICK-000495,CUST-00130,2025-09-29 07:59:00,Chat,Account Issue,Can't log in,Password reset not sending.,Medium,Resolved,Riley,1,51.5,FALSE,3,Sent manual reset link via SMS.
TICK-000496,CUST-00791,2026-04-08 21:22:00,Chat,Account Issue,Can't log in,Password reset not sending.,High,Resolved,Jamie,6,11.3,TRUE,3,Sent manual reset link via SMS.
TICK-000497,CUST-00130,2025-10-17 20:15:00,Email,Refund Request,Need refund for Smart TV,I returned this last week and want my money back.,High,Resolved,Casey,94,23.0,FALSE,5,Refund processed to original payment method.
TICK-000498,CUST-00729,2026-04-12 21:41:00,Email,Account Issue,Can't log in,Password reset not sending.,Low,Resolved,Chris,166,66.3,FALSE,3,Sent manual reset link via SMS.
TICK-000499,CUST-00675,2025-12-29 00:18:00,Email,Account Issue,Can't log in,Password reset not sending.,Low,Pending,Casey,51,,FALSE,,
TICK-000500,CUST-00707,2026-03-18 19:24:00,Chat,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Medium,Resolved,Casey,7,35.3,FALSE,4,Addressed multiple queries.
TICK-000501,CUST-00919,2026-01-06 21:03:00,Social Media,Order Tracking & Delivery Delay,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,Critical,Escalated,Jamie,148,,TRUE,,
TICK-000502,CUST-00088,2025-06-25 13:00:00,Email,Order Tracking,Where is my Smart TV?,I ordered a Smart TV and the tracking hasn't updated.,Low,Resolved,Morgan,263,43.1,FALSE,3,Provided updated tracking link.
TICK-000503,CUST-00362,2025-07-28 02:00:00,Phone,Delivery Delay,Package is late,My Coffee Machine was supposed to be here 2 days ago.,High,Resolved,Taylor,4,17.1,TRUE,2,"Escalated to carrier, offered $10 credit."
TICK-000504,CUST-00887,2025-10-04 04:35:00,Email,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Wireless Earbuds.",High,Resolved,Jordan,247,6.8,FALSE,3,Issued return label and shipped correct item.
TICK-000505,CUST-00772,2025-09-22 04:40:00,Email,Refund Request,Need refund for Coffee Machine,I returned this last week and want my money back.,High,Resolved,Casey,161,3.6,FALSE,5,Refund processed to original payment method.
TICK-000506,CUST-00845,2026-03-23 02:03:00,Email,Product Damage,Laptop Stand arrived broken,The box was smashed and the item is damaged.,High,Escalated,Taylor,15,,TRUE,,
TICK-000507,CUST-00823,2025-12-15 02:35:00,Email,Order Tracking,Where is my Wireless Earbuds?,I ordered a Wireless Earbuds and the tracking hasn't updated.,Low,Resolved,Riley,70,46.5,FALSE,4,Provided updated tracking link.
TICK-000508,CUST-00590,2025-06-07 17:05:00,Email,Order Tracking,Where is my Electric Toothbrush?,I ordered a Electric Toothbrush and the tracking hasn't updated.,High,Resolved,Jordan,94,19.7,FALSE,2,Provided updated tracking link.
TICK-000509,CUST-00259,2025-09-29 10:17:00,Chat,Account Issue,Can't log in,Password reset not sending.,High,Pending,Casey,10,,FALSE,,
TICK-000510,CUST-00732,2025-11-03 05:16:00,Chat,Delivery Delay,Package is late,My Yoga Mat was supposed to be here 2 days ago.,Medium,Resolved,Chris,4,43.9,FALSE,4,"Escalated to carrier, offered $10 credit."
TICK-000511,CUST-00483,2025-10-14 21:22:00,Email,Account Issue,Can't log in,Password reset not sending.,Medium,Resolved,Sam,217,22.1,FALSE,5,Sent manual reset link via SMS.
TICK-000512,CUST-00947,2026-03-29 02:40:00,Email,Order Tracking,Where is my Blender?,I ordered a Blender and the tracking hasn't updated.,Medium,Pending,Jordan,34,,FALSE,,
TICK-000513,CUST-00049,2025-07-22 16:07:00,Chat,Account Issue,Can't log in,Password reset not sending.,Medium,Open,Morgan,1,,FALSE,,
TICK-000514,CUST-00274,2025-09-04 02:49:00,Chat,Refund Request,Need refund for Electric Toothbrush,I returned this last week and want my money back.,Low,Resolved,Casey,9,5.1,FALSE,5,Refund processed to original payment method.
TICK-000515,CUST-00139,2026-03-11 15:55:00,Email,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Medium,Resolved,Morgan,165,59.1,FALSE,1,Addressed multiple queries.
TICK-000516,CUST-00857,2026-01-27 16:31:00,Chat,Order Tracking & Wrong Product,AGAIN: Where is my Smart TV?,I ordered a Smart TV and the tracking hasn't updated.,High,Resolved,Chris,11,9.3,TRUE,2,Provided updated tracking link.
TICK-000517,CUST-00755,2025-07-10 22:10:00,Email,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Medium,Resolved,Alex,160,64.2,FALSE,2,Addressed multiple queries.
TICK-000518,CUST-00368,2026-04-05 00:47:00,Chat,Order Tracking,Where is my Running Shoes?,I ordered a Running Shoes and the tracking hasn't updated.,Low,Pending,Casey,1,,FALSE,,
TICK-000519,CUST-00217,2025-11-12 04:22:00,Chat,Order Tracking,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,High,Resolved,Chris,2,10.4,FALSE,2,Provided updated tracking link.
TICK-000520,CUST-00780,2025-06-05 07:27:00,Chat,Order Tracking & Payment Issue,Where is my Mechanical Keyboard?,I ordered a Mechanical Keyboard and the tracking hasn't updated.,Critical,Escalated,Jordan,6,,TRUE,,
TICK-000521,CUST-00105,2025-07-24 08:14:00,Chat,Order Tracking,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,High,Resolved,Taylor,11,9.3,FALSE,3,Provided updated tracking link.
TICK-000522,CUST-00827,2026-05-07 13:54:00,Chat,Product Damage,Wireless Earbuds arrived broken,The box was smashed and the item is damaged.,High,Open,Riley,13,,FALSE,,
TICK-000523,CUST-00258,2026-05-12 02:13:00,Email,Product Damage,Coffee Machine arrived broken,The box was smashed and the item is damaged.,High,Resolved,Pat,117,4.9,TRUE,5,Sent overnight replacement.
TICK-000524,CUST-00640,2026-05-08 08:55:00,Email,Payment Issue,Charged twice!,My card was declined but I see a charge.,Critical,Resolved,Alex,17,2.1,FALSE,3,Voided duplicate authorization hold.
TICK-000525,CUST-00936,2025-08-29 00:28:00,Email,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Gaming Mouse.",Medium,Resolved,Morgan,63,49.1,FALSE,2,Issued return label and shipped correct item.
TICK-000526,CUST-00716,2025-06-24 20:58:00,Phone,Delivery Delay,Package is late,My Yoga Mat was supposed to be here 2 days ago.,High,Resolved,Casey,3,19.3,FALSE,1,"Escalated to carrier, offered $10 credit."
TICK-000527,CUST-00387,2025-11-03 07:58:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,Medium,Resolved,Jamie,5,5.4,FALSE,3,Voided duplicate authorization hold.
TICK-000528,CUST-00252,2025-12-04 18:39:00,Phone,Order Tracking,Where is my Yoga Mat?,I ordered a Yoga Mat and the tracking hasn't updated.,Low,Resolved,Chris,12,53.3,FALSE,1,Provided updated tracking link.
TICK-000529,CUST-00716,2026-02-12 19:38:00,Social Media,Product Damage,Yoga Mat arrived broken,The box was smashed and the item is damaged.,Critical,Resolved,Pat,99,1.2,TRUE,1,Sent overnight replacement.
TICK-000530,CUST-00606,2025-11-17 16:17:00,Phone,Order Tracking,AGAIN: Where is my Coffee Machine?,I ordered a Coffee Machine and the tracking hasn't updated.,Critical,Resolved,Morgan,15,2.5,TRUE,3,Provided updated tracking link.
TICK-000531,CUST-00314,2026-02-16 00:17:00,Chat,Refund Request,Need refund for Wireless Earbuds,I returned this last week and want my money back.,Critical,Escalated,Sam,7,,TRUE,,
TICK-000532,CUST-00355,2026-02-22 20:16:00,Phone,Delivery Delay,Package is late,My Mechanical Keyboard was supposed to be here 2 days ago.,Medium,Resolved,Morgan,10,38.4,FALSE,5,"Escalated to carrier, offered $10 credit."
TICK-000533,CUST-00263,2025-11-25 00:36:00,Social Media,Order Tracking,Where is my Electric Toothbrush?,I ordered a Electric Toothbrush and the tracking hasn't updated.,Medium,Resolved,Pat,85,40.8,FALSE,5,Provided updated tracking link.
TICK-000534,CUST-00332,2025-09-27 18:44:00,Email,Product Damage,AGAIN: Electric Toothbrush arrived broken,The box was smashed and the item is damaged.,High,Resolved,Riley,149,19.7,TRUE,1,Sent overnight replacement.
TICK-000535,CUST-00806,2026-01-22 01:55:00,Social Media,Order Tracking,Where is my Coffee Machine?,I ordered a Coffee Machine and the tracking hasn't updated.,Low,Resolved,Pat,20,25.4,FALSE,4,Provided updated tracking link.
TICK-000536,CUST-00327,2025-10-12 01:48:00,Social Media,Account Issue,AGAIN: Can't log in,Password reset not sending.,High,Pending,Pat,254,,FALSE,,
TICK-000537,CUST-00831,2026-04-06 03:14:00,Email,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Mechanical Keyboard.",Medium,Resolved,Chris,175,15.8,FALSE,4,Issued return label and shipped correct item.
TICK-000538,CUST-00318,2026-03-27 00:32:00,Email,Unknown Issue,Question,Does it work?,Low,Resolved,Jordan,65,28.8,FALSE,5,Clarified user question and provided specs.
TICK-000539,CUST-00038,2025-11-24 14:04:00,Email,Payment Issue,Charged twice!,My card was declined but I see a charge.,Medium,Resolved,Alex,73,16.1,FALSE,5,Voided duplicate authorization hold.
TICK-000540,CUST-00051,2026-03-14 18:30:00,Chat,Account Issue,Can't log in,Password reset not sending.,Medium,Resolved,Casey,11,29.1,FALSE,1,Sent manual reset link via SMS.
TICK-000541,CUST-00202,2026-01-18 00:12:00,Email,Product Damage,Blender arrived broken,The box was smashed and the item is damaged.,High,Resolved,Sam,238,3.9,FALSE,1,Sent overnight replacement.
TICK-000542,CUST-00916,2025-07-25 15:36:00,Email,Product Damage,Blender arrived broken,The box was smashed and the item is damaged.,Critical,Open,Sam,176,,TRUE,,
TICK-000543,CUST-00468,2026-01-27 14:55:00,Email,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Low,Resolved,Pat,242,31.1,FALSE,4,Addressed multiple queries.
TICK-000544,CUST-00651,2025-09-26 23:05:00,Chat,Refund Request,Need refund for Running Shoes,I returned this last week and want my money back.,Medium,Resolved,Taylor,14,48.7,FALSE,3,Refund processed to original payment method.
TICK-000545,CUST-00384,2025-05-30 06:17:00,Chat,Order Tracking,Where is my Mechanical Keyboard?,I ordered a Mechanical Keyboard and the tracking hasn't updated.,Low,Resolved,Taylor,6,61.4,FALSE,2,Provided updated tracking link.
TICK-000546,CUST-00840,2026-04-06 07:45:00,Social Media,Account Issue,Can't log in,Password reset not sending.,Low,Pending,Chris,67,,FALSE,,
TICK-000547,CUST-00405,2025-10-06 18:03:00,Phone,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Resolved,Jordan,3,8.7,FALSE,2,Voided duplicate authorization hold.
TICK-000548,CUST-00497,2025-05-30 17:21:00,Social Media,Delivery Delay,Package is late,My Yoga Mat was supposed to be here 2 days ago.,Medium,Resolved,Taylor,233,55.7,FALSE,2,"Escalated to carrier, offered $10 credit."
TICK-000549,CUST-00071,2026-03-24 09:09:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Wireless Earbuds.",Medium,Resolved,Riley,11,18.9,FALSE,1,Issued return label and shipped correct item.
TICK-000550,CUST-00762,2026-04-09 14:33:00,Phone,Refund Request,Need refund for Gaming Mouse,I returned this last week and want my money back.,High,Resolved,Jamie,14,16.8,FALSE,4,Refund processed to original payment method.
TICK-000551,CUST-00969,2026-03-08 15:37:00,Chat,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Medium,Open,Jamie,2,,FALSE,,
TICK-000552,CUST-00138,2025-07-24 18:53:00,Chat,Order Tracking,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,Low,Resolved,Pat,9,50.0,FALSE,3,Provided updated tracking link.
TICK-000553,CUST-00552,2025-09-16 20:06:00,Phone,Delivery Delay,AGAIN: Package is late,My Gaming Mouse was supposed to be here 2 days ago.,High,Resolved,Taylor,2,5.0,FALSE,2,"Escalated to carrier, offered $10 credit."
TICK-000554,CUST-00895,2026-03-30 07:37:00,Social Media,Order Tracking,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,High,Resolved,Sam,71,23.3,FALSE,4,Provided updated tracking link.
TICK-000555,CUST-00764,2025-11-17 20:33:00,Chat,Account Issue,Can't log in,Password reset not sending.,Medium,Resolved,Sam,12,27.9,FALSE,5,Sent manual reset link via SMS.
TICK-000556,CUST-00871,2026-02-06 07:39:00,Phone,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Gaming Mouse.",Medium,Resolved,Jordan,12,58.3,FALSE,4,Issued return label and shipped correct item.
TICK-000557,CUST-00537,2025-07-06 15:29:00,Email,Refund Request,Need refund for Yoga Mat,I returned this last week and want my money back.,High,Resolved,Jamie,149,23.4,FALSE,3,Refund processed to original payment method.
TICK-000558,CUST-00964,2025-09-03 08:18:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Running Shoes.",High,Resolved,Alex,5,23.9,FALSE,3,Issued return label and shipped correct item.
TICK-000559,CUST-00574,2025-12-08 22:00:00,Social Media,Refund Request,Need refund for Gaming Mouse,I returned this last week and want my money back.,Critical,Open,Chris,22,,TRUE,,
TICK-000560,CUST-00960,2025-07-23 05:26:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Smart TV.",High,Resolved,Jamie,11,4.0,TRUE,5,Issued return label and shipped correct item.
TICK-000561,CUST-00751,2026-01-06 14:35:00,Chat,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Smart TV.",Critical,Resolved,Casey,1,0.7,FALSE,1,Issued return label and shipped correct item.
TICK-000562,CUST-00304,2025-05-26 00:16:00,Email,Order Tracking & Product Damage,Where is my Wireless Earbuds?,I ordered a Wireless Earbuds and the tracking hasn't updated.,High,Resolved,Taylor,215,6.2,FALSE,4,Provided updated tracking link.
TICK-000563,CUST-00081,2025-09-23 10:58:00,Chat,Order Tracking,Where is my Blender?,I ordered a Blender and the tracking hasn't updated.,Low,Resolved,Jamie,7,9.9,FALSE,1,Provided updated tracking link.
TICK-000564,CUST-00195,2025-06-06 05:25:00,Email,Order Tracking,Where is my Electric Toothbrush?,I ordered a Electric Toothbrush and the tracking hasn't updated.,Medium,Resolved,Morgan,104,19.4,FALSE,4,Provided updated tracking link.
TICK-000565,CUST-00766,2026-05-06 00:08:00,Chat,Order Tracking,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,Low,Resolved,Chris,4,62.1,FALSE,3,Provided updated tracking link.
TICK-000566,CUST-00672,2026-04-30 13:58:00,Email,Order Tracking,Where is my Coffee Machine?,I ordered a Coffee Machine and the tracking hasn't updated.,Low,Resolved,Chris,146,13.6,FALSE,4,Provided updated tracking link.
TICK-000567,CUST-00713,2025-12-21 05:02:00,Chat,Refund Request,Need refund for Laptop Stand,I returned this last week and want my money back.,High,Resolved,Jordan,6,9.1,FALSE,5,Refund processed to original payment method.
